Main_ID,EventYear,Collected,Raised,NonFund,Donated,Participant,Volunteer,CorpSponsor,Fundraiser,RegFeePaid,CCWaived,TeamID,MinFund,Commitment,Virtual,CompanyID,RestrictedFund,UniqueID,EventName,RaisedMembers,Event,FRChangeDate,FBFundraiserID,FBDonationID,FBAdjustments,FBChangeDate
00234-1,2023,"24,983.68","24,638.68",345,0,true,false,false,true,true,false,743,"6,000","6,000",false,NULL,NULL,FE557DD7-9C87-ED11-B73F-00237D21B888,PMC,0,1,2023-11-02 16:32:57.153,1616829328817243,6715309108522401,"7,788.34",2023-11-02 16:48:39.470
00240-6,2023,"40,807.18","40,532.18",275,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,602070BC-208E-ED11-B382-0A4CF4968877,PMC,0,3,2023-12-04 14:40:25.623,NULL,NULL,0,NULL
00241-9,2023,60,60,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,5DD8F20D-A83E-EE11-93E6-00237D21B888,PMC,0,NULL,2023-08-19 11:50:01.450,NULL,NULL,0,NULL
00257-4,2023,"10,835","10,450",385,0,true,false,false,true,true,false,123,"6,000","6,000",false,NULL,KR,F017D793-F598-ED11-B382-0A4CF4968877,PMC,0,3,2023-08-29 12:20:01.467,172446215561720,6366874620093596,100,2023-08-29 12:31:55.933
00258-7,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,23A4BEAF-E52A-EE11-93E6-00237D21B888,PMC,0,NULL,2023-08-11 12:05:48.570,NULL,NULL,0,NULL
00266-8,2023,"6,422","6,197",225,0,true,false,false,true,true,false,877,"4,000","4,000",false,NULL,NULL,264F9EE7-2C90-ED11-B382-0A4CF4968877,PMC,0,C,2023-08-13 10:50:00.730,NULL,NULL,0,NULL
00283-3,2023,50,50,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,D0D2D7F9-D624-EE11-93E6-00237D21B888,PMC,0,NULL,2023-07-17 15:20:23.830,NULL,NULL,0,NULL
00306-5,2023,"16,458.34","16,123.34",335,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,10F47FE7-9C8F-ED11-B382-0A4CF4968877,PMC,0,9,2023-09-05 14:00:09.550,NULL,NULL,0,NULL
00328-5,2023,250,250,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,123FF76B-10D3-ED11-8450-00237D21B888,PMC,0,NULL,2023-08-05 18:15:03.713,NULL,NULL,0,NULL
00334-0,2023,"11,452.29","10,943.29",509,0,true,false,false,true,true,false,"1,115","6,000","6,000",false,NULL,NULL,8044294C-9D8E-ED11-B382-0A4CF4968877,PMC,0,1,2023-10-03 18:40:01.020,1428445311277298,6487261424697824,"1,706.5",2023-10-03 18:46:55.073
00335-3,2023,0,0,0,0,false,true,false,false,false,false,NULL,0,0,false,NULL,NULL,B03AFE08-B8B6-ED11-B382-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
00356-0,2023,"12,448.1","11,673.1",775,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,E8F7E387-038D-ED11-B382-0A4CF4968877,PMC,0,1,2023-11-13 20:30:18.490,NULL,NULL,0,NULL
00374-8,2023,"76,382.5","76,057.5",325,0,true,true,false,true,true,false,"1,384","6,000","6,000",false,NULL,XJ,ABCE62DC-6376-ED11-8A40-00237D21B888,PMC,0,1,2023-10-17 15:39:38.173,NULL,NULL,0,NULL
00374-8,2023,0,0,0,0,false,true,false,false,false,false,NULL,0,0,false,NULL,NULL,3067D66B-0DD4-ED11-B383-0A4CF4968877,Unpaved,0,NULL,NULL,NULL,NULL,NULL,NULL
00392-6,2023,"9,610","9,385",225,0,true,false,false,true,true,false,NULL,"4,000","4,000",false,NULL,NULL,2028A244-AE92-ED11-B382-0A4CF4968877,PMC,0,6,2023-12-02 17:35:01.137,NULL,NULL,0,NULL
00419-0,2023,"2,978.13","2,769.13",209,0,true,false,false,true,true,false,77,"2,000","2,000",false,NULL,1,C0D0167A-5594-ED11-B382-0A4CF4968877,PMC,0,C,2023-10-01 10:20:01.690,NULL,NULL,0,NULL
00430-7,2023,600,600,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,F2A36424-7D31-EE11-93E6-00237D21B888,PMC,0,NULL,2023-08-07 14:33:35.350,NULL,NULL,0,NULL
00467-9,2023,200,200,0,0,false,true,false,true,false,false,NULL,0,0,false,NULL,NULL,A0100BCD-3098-ED11-B382-0A4CF4968877,PMC,0,NULL,2023-08-31 10:19:59.300,NULL,NULL,0,NULL
00468-2,2023,"37,400","36,675",725,0,true,false,false,true,true,false,795,"6,000","6,000",false,NULL,LK,90640090-838F-ED11-B382-0A4CF4968877,PMC,0,1,2023-09-20 14:38:01.210,1006282603709686,4986115241512639,260,2023-09-20 14:46:28.317
00469-5,2023,"15,943.26","15,943.26",0,0,true,false,false,true,false,false,795,0,0,true,NULL,MP,A762D6F9-F191-ED11-B382-0A4CF4968877,PMC,0,V,2023-10-06 15:40:45.627,NULL,NULL,0,NULL
00479-2,2023,"19,925","19,700",225,0,true,false,false,true,true,false,77,"4,000","4,000",false,NULL,1,EA546482-2D64-ED11-8A40-00237D21B888,PMC,0,6,2023-10-11 08:17:12.927,NULL,NULL,0,NULL
00480-2,2023,"5,525","5,300",225,0,true,false,false,true,true,false,77,"4,000","4,000",false,NULL,1,10BB679C-B2BB-ED11-B382-0A4CF4968877,PMC,0,6,2023-09-16 18:45:00.867,NULL,NULL,0,NULL
00498-3,2023,275,275,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,281EFAA4-2E8D-ED11-B73F-00237D21B888,PMC,0,NULL,2023-08-14 20:40:01.060,NULL,NULL,0,NULL
00567-8,2023,445,445,0,0,true,true,false,true,false,false,NULL,0,0,true,NULL,NULL,E4C071F5-9B8E-ED11-B73F-00237D21B888,PMC,0,V,2023-09-15 15:58:08.187,NULL,NULL,0,NULL
00613-0,2023,0,0,0,0,true,false,false,false,false,false,NULL,0,0,true,NULL,NULL,84DDB2AE-F820-EE11-80A4-0A4CF4968877,PMC,0,V,NULL,NULL,NULL,NULL,NULL
00672-9,2023,"2,035","2,035",0,0,true,false,false,true,false,false,NULL,0,0,true,NULL,NULL,F7295862-83BC-ED11-8450-00237D21B888,PMC,0,V,2023-10-04 09:15:25.830,NULL,NULL,0,NULL
00707-4,2023,"55,900","55,500",400,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,9BEAD6BA-2577-ED11-8A40-00237D21B888,PMC,0,3,2023-11-21 08:16:59.990,NULL,NULL,0,NULL
00710-0,2023,"68,166.66","67,916.66",250,0,true,false,false,true,true,false,"1,150","5,000","5,000",false,NULL,NULL,A6D87EE3-3177-ED11-8A40-00237D21B888,PMC,0,T,2023-09-14 15:17:34.550,NULL,NULL,0,NULL
00722-3,2023,0,0,0,0,false,true,false,false,false,false,NULL,0,0,false,NULL,NULL,804A9800-6DB8-ED11-B382-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
00764-7,2023,200,200,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,2C5EBA9F-B3AC-ED11-8450-00237D21B888,PMC,0,NULL,2023-02-14 17:05:01.040,NULL,NULL,0,NULL
00768-9,2023,"35,738.62","35,413.62",325,0,true,false,false,true,true,false,795,"6,000","6,000",false,NULL,LK,E8C53396-758C-ED11-B73F-00237D21B888,PMC,0,3,2023-09-29 16:31:59.407,675273981080089,6645227008890805,"4,149.67",2023-09-29 16:46:56.710
00785-4,2023,50,50,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,B9142445-6117-EE11-93E6-00237D21B888,PMC,0,NULL,2023-06-30 12:15:04.730,NULL,NULL,0,NULL
00793-5,2023,"22,615","22,405",210,0,true,false,false,true,true,false,784,"2,000","2,000",false,NULL,QA,F00F120D-D78D-ED11-B382-0A4CF4968877,PMC,0,C,2023-10-28 08:25:01.620,NULL,NULL,0,NULL
00794-8,2023,"4,000","4,000",0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,C6DE384B-778B-ED11-B73F-00237D21B888,PMC,0,NULL,2023-03-15 14:44:25.167,NULL,NULL,0,NULL
00794-8,2023,"5,070","5,020",50,0,true,false,false,true,false,false,NULL,"1,000","1,000",false,NULL,NULL,F1EDC756-B162-ED11-B915-0A4CF4968877,Winter-Cycle-Boston,0,NULL,2023-03-01 09:35:00.167,NULL,NULL,0,NULL
00802-8,2023,"10,564","10,180",384,0,true,false,false,true,true,false,"1,616","6,000","6,000",false,NULL,KA,35F133D6-2790-ED11-B382-0A4CF4968877,PMC,0,1,2023-09-06 10:17:58.657,NULL,NULL,0,NULL
00847-1,2023,250,250,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,B2D8560A-4835-EE11-93E6-00237D21B888,PMC,0,NULL,2023-08-07 13:30:03.377,NULL,NULL,0,NULL
00848-4,2023,"261,470","261,270",200,0,true,false,false,true,true,false,"1,820","2,000","2,000",false,NULL,NULL,40A9E1CB-198D-ED11-B382-0A4CF4968877,PMC,0,C,2023-10-13 13:48:11.277,NULL,NULL,0,NULL
00866-2,2023,0,0,0,0,false,true,false,false,false,false,NULL,0,0,false,NULL,NULL,A0DAB585-75AD-ED11-B382-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
00895-0,2023,"7,202.1","6,977.1",225,0,true,false,false,true,true,false,795,"4,000","4,000",false,NULL,NULL,502150B2-8C92-ED11-B382-0A4CF4968877,PMC,0,6,2023-11-17 11:46:19.713,NULL,NULL,0,NULL
00896-3,2023,"4,758.55","4,533.55",225,0,true,false,false,true,true,false,795,"4,000","4,000",false,NULL,NULL,11EF26B1-9EA4-ED11-8450-00237D21B888,PMC,0,6,2023-11-14 21:30:11.733,NULL,NULL,0,NULL
00931-5,2023,"6,517","6,192",325,0,true,false,false,true,true,false,38,"6,000","6,000",false,NULL,HA,02F3D1A1-9992-ED11-B382-0A4CF4968877,PMC,0,1,2023-10-23 15:25:59.640,NULL,NULL,0,NULL
00937-3,2023,"36,896","36,571",325,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,F0F6691C-EC8E-ED11-B382-0A4CF4968877,PMC,0,3,2023-10-05 11:30:01.543,NULL,NULL,0,NULL
00965-8,2023,"12,819.64","12,594.64",225,0,true,false,false,true,true,false,NULL,"4,000","4,000",false,NULL,NULL,F1F25A4F-3E90-ED11-B382-0A4CF4968877,PMC,0,5,2023-09-04 13:25:02.433,NULL,NULL,0,NULL
00965-8,2023,100,100,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,41D56A48-0241-EE11-93E6-00237D21B888,Unpaved,0,NULL,2023-08-22 11:40:56.573,NULL,NULL,0,NULL
00972-6,2023,"2,447","2,322",125,0,true,false,false,true,true,false,NULL,"2,000","2,000",false,NULL,AX,EF6127D2-30A2-ED11-8450-00237D21B888,PMC,0,O,2023-12-04 09:40:13.993,NULL,NULL,0,NULL
00995-9,2023,"42,644","42,269",375,0,true,true,false,true,true,false,"1,734","6,000","6,000",false,NULL,NULL,06850958-018D-ED11-B382-0A4CF4968877,PMC,0,1,2023-10-03 09:09:24.910,NULL,NULL,0,NULL
00995-9,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,EB03C0DE-501F-EE11-93E6-00237D21B888,Unpaved,0,NULL,2023-07-11 14:23:42.137,NULL,NULL,0,NULL
01006-1,2023,"6,475","6,100",375,0,true,false,false,true,true,false,"1,384","6,000","6,000",false,NULL,XJ,7069964D-169C-ED11-B382-0A4CF4968877,PMC,0,3,2023-11-09 12:28:13.813,NULL,NULL,0,NULL
01032-0,2023,"11,930","11,505",425,0,true,false,false,true,true,false,"1,594","6,000","6,000",false,NULL,NULL,51C1AAA4-F091-ED11-B382-0A4CF4968877,PMC,0,8,2023-10-02 21:46:00.903,NULL,NULL,0,NULL
01050-8,2023,"4,425","4,200",225,0,true,false,false,true,true,false,77,"4,000","4,000",false,NULL,1,C0B6F363-2A90-ED11-B382-0A4CF4968877,PMC,0,6,2023-09-26 10:19:10.223,NULL,NULL,0,NULL
01074-4,2023,"20,325.67","20,000.67",325,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,10B566F9-798F-ED11-B382-0A4CF4968877,PMC,0,1,2023-10-10 15:55:01.293,NULL,NULL,0,NULL
01075-7,2023,"7,115","6,490",625,0,true,false,false,true,true,false,"1,235","4,000","4,000",false,NULL,AT,647D3720-9492-ED11-B382-0A4CF4968877,PMC,0,5,2023-09-22 10:05:10.510,NULL,NULL,0,NULL
01091-9,2023,"4,746","4,540",206,0,true,false,false,true,true,false,NULL,"2,000","2,000",false,NULL,NULL,FEFF5C96-7D8B-ED11-B73F-00237D21B888,PMC,0,F,2023-11-20 10:25:00.350,NULL,NULL,0,NULL
01095-1,2023,"7,218","6,543",675,0,true,false,false,true,true,false,149,"6,000","6,000",false,NULL,NULL,10EBC0A9-7C92-ED11-B382-0A4CF4968877,PMC,0,1,2023-09-30 12:38:22.777,2142675382607209,6964266806937691,300,2023-09-21 10:46:29.873
01095-1,2023,"1,725","1,575",150,0,true,false,false,true,true,false,149,"1,500","1,500",false,NULL,NULL,60863883-44CA-ED11-B382-0A4CF4968877,Unpaved,0,5,2023-09-30 12:38:23.210,829497582513444,6602773979800752,"1,000",2023-09-24 18:31:38.530
01095-1,2023,650,600,50,0,true,false,false,true,false,false,NULL,500,500,false,NULL,NULL,E1D5CF4A-E74E-ED11-B914-0A4CF4968877,Winter-Cycle-Boston,0,NULL,2023-02-08 09:38:02.870,NULL,NULL,0,NULL
01098-0,2023,"9,550","9,285",265,0,true,false,false,true,true,false,NULL,"4,000","4,000",false,NULL,NULL,51BCFCA0-6290-ED11-B382-0A4CF4968877,PMC,0,6,2023-08-24 07:40:01.577,1034220687987200,6080909972014661,500,2023-08-24 07:46:46.473
01111-2,2023,"1,450","1,450",0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,4192DC68-E233-EE11-93E6-00237D21B888,PMC,0,NULL,2023-09-29 20:52:00.807,NULL,NULL,0,NULL
01195-0,2023,"13,154.55","12,929.55",225,0,true,false,false,true,true,false,"1,647","4,000","4,000",false,NULL,AU,908AD7C8-EA8D-ED11-B382-0A4CF4968877,PMC,0,6,2023-09-07 13:42:38.760,NULL,NULL,0,NULL
01201-4,2023,0,0,0,0,false,true,false,false,false,false,NULL,0,0,false,NULL,NULL,E0FE65F9-19AE-ED11-B382-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
01218-2,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,94EAEBB2-4C10-EE11-93E6-00237D21B888,PMC,0,NULL,2023-06-29 14:58:32.267,NULL,NULL,0,NULL
01228-9,2023,"8,700","8,250",450,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,D44A790C-2690-ED11-B382-0A4CF4968877,PMC,0,3,2023-11-20 10:00:01.233,NULL,NULL,0,NULL
01233-1,2023,"14,393","14,193",200,0,true,false,false,true,true,false,136,"2,000","2,000",false,NULL,NULL,6C7F1428-6C72-ED11-8A40-00237D21B888,PMC,0,C,2023-11-17 20:25:12.000,NULL,NULL,0,NULL
01300-0,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,23E3CFE6-2E45-EE11-80A4-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
01313-6,2023,"14,534","14,200",334,0,true,false,false,true,true,false,"1,705","6,000","6,000",false,NULL,NULL,204AC126-278D-ED11-B382-0A4CF4968877,PMC,0,8,2023-09-29 13:02:16.643,NULL,NULL,0,NULL
01315-2,2023,"19,223.2","18,333.2",890,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,CBA5DC6C-C98D-ED11-B382-0A4CF4968877,PMC,0,1,2023-10-23 14:50:18.000,NULL,NULL,0,NULL
01315-2,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,63AD82BA-1253-EE11-93E6-00237D21B888,Unpaved,0,NULL,2023-09-21 21:25:12.407,NULL,NULL,0,NULL
01343-7,2023,250,250,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,3061F5E3-0233-EE11-93E6-00237D21B888,PMC,0,NULL,2023-08-04 16:10:01.367,NULL,NULL,0,NULL
01344-0,2023,"13,200","12,800",400,0,true,false,false,true,true,false,"1,384","6,000","6,000",false,NULL,XJ,10A5066B-FC8D-ED11-B382-0A4CF4968877,PMC,0,3,2023-09-03 07:17:01.043,NULL,NULL,0,NULL
01348-2,2023,"43,100","42,200",900,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,103BB31C-228D-ED11-B382-0A4CF4968877,PMC,0,1,2023-09-08 01:25:00.997,1521397368604437,6442281559172355,0,2023-09-08 01:31:09.203
01363-1,2023,880,880,0,0,true,false,false,true,false,false,NULL,0,0,true,NULL,NULL,DEEA5E46-DCFB-ED11-93E6-00237D21B888,PMC,0,V,2023-08-05 10:35:06.857,NULL,NULL,0,NULL
01374-1,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,90D1252A-EEA7-ED11-B382-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
01389-3,2023,"6,918.33","6,068.33",850,0,true,false,false,true,true,false,80,"6,000","6,000",false,NULL,NULL,A0D5FF9B-F491-ED11-B382-0A4CF4968877,PMC,0,1,2023-11-03 10:20:04.090,175681028801474,5854762241290633,333.33,2023-11-03 10:31:39.083
01389-3,2023,100,100,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,A182C422-1353-EE11-93E6-00237D21B888,Unpaved,0,NULL,2023-09-14 11:26:55.783,NULL,NULL,0,NULL
01398-7,2023,"138,900","138,900",0,0,true,false,false,true,false,false,NULL,0,0,true,NULL,NULL,00AEDCDE-7CAC-ED11-B382-0A4CF4968877,PMC,0,V,2023-08-29 10:16:22.667,NULL,NULL,0,NULL
01444-9,2023,0,0,0,0,true,false,false,false,false,false,690,0,0,true,NULL,NULL,60C453FB-621B-EE11-80A4-0A4CF4968877,PMC,0,V,NULL,NULL,NULL,NULL,NULL
01447-8,2023,"26,879.55","26,429.55",450,0,true,false,false,true,true,false,768,"6,000","6,000",false,NULL,U,F0F1E80D-DA8F-ED11-B382-0A4CF4968877,PMC,0,3,2023-11-16 21:10:22.860,NULL,NULL,0,NULL
01449-4,2023,"2,131","2,000",131,0,true,false,false,true,true,false,690,"2,000","2,000",false,NULL,NULL,D4B50FEB-3190-ED11-B382-0A4CF4968877,PMC,0,O,2023-10-05 12:39:21.253,NULL,NULL,0,NULL
01451-7,2023,50,50,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,6EFB7076-5031-EE11-93E6-00237D21B888,PMC,0,NULL,2023-08-02 12:20:16.230,NULL,NULL,0,NULL
01452-0,2023,"6,675","6,225",450,0,true,false,false,true,true,false,768,"6,000","6,000",false,NULL,NULL,6012E8B9-4390-ED11-B382-0A4CF4968877,PMC,0,3,2023-11-28 10:20:02.760,NULL,NULL,0,NULL
01453-3,2023,0,0,0,0,false,true,false,false,false,false,NULL,0,0,false,NULL,NULL,50FD1219-94BC-ED11-B382-0A4CF4968877,PMC,0,NULL,NULL,NULL,NULL,NULL,NULL
01457-5,2023,"14,870.76","14,595.76",275,0,true,false,false,true,true,false,NULL,"6,000","6,000",false,NULL,NULL,202397CB-138E-ED11-B382-0A4CF4968877,PMC,0,3,2023-10-13 11:43:08.533,647027063615227,7194795363885917,573.76,2023-10-13 11:46:04.923
01503-7,2023,"46,021.63","45,246.63",775,0,true,false,false,true,true,false,138,"6,000","6,000",false,NULL,LV,30BB618C-2C8D-ED11-B382-0A4CF4968877,PMC,0,1,2023-11-17 11:46:25.670,NULL,NULL,0,NULL
01510-5,2023,"10,342.5","10,207.5",135,0,true,false,false,true,true,false,NULL,"2,000","2,000",false,NULL,NULL,70BD3213-068D-ED11-B382-0A4CF4968877,PMC,0,O,2023-10-20 11:34:05.090,NULL,NULL,0,NULL
01546-4,2023,"10,150.75","10,150.75",0,0,true,true,false,true,false,false,77,0,0,true,NULL,NULL,11708BC2-65A5-ED11-8450-00237D21B888,PMC,0,V,2023-12-03 09:35:01.483,NULL,NULL,0,NULL
01573-6,2023,200,200,0,0,true,false,false,true,false,false,NULL,0,0,true,NULL,NULL,80DC260E-5EE4-ED11-B383-0A4CF4968877,PMC,0,V,2023-08-07 13:05:03.230,NULL,NULL,0,NULL
01573-6,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,83954BA1-7434-EE11-80A4-0A4CF4968877,Unpaved,0,NULL,NULL,NULL,NULL,NULL,NULL
01635-3,2023,0,0,0,0,false,false,false,false,false,false,NULL,0,0,false,NULL,NULL,B007DBD0-418D-EE11-80A4-0A4CF4968877,PMC,0,NULL,2023-11-28 12:14:19.963,NULL,NULL,0,NULL
01645-0,2023,"22,757.84","21,507.84","1,250",0,true,false,false,true,true,false,795,"6,000","6,000",false,NULL,MP,309911FD-4B8D-ED11-B382-0A4CF4968877,PMC,0,1,2023-10-10 23:20:15.280,NULL,NULL,0,NULL
01647-6,2023,50,50,0,0,false,false,false,true,false,false,NULL,0,0,false,NULL,NULL,69DE86AF-368A-ED11-B73F-00237D21B888,PMC,0,NULL,2023-01-01 19:45:00.720,NULL,NULL,0,NULL
01689-0,2023,"17,606","17,131",475,0,true,false,false,true,true,false,"1,384","6,000","6,000",false,NULL,XJ,11983B4E-008E-ED11-B382-0A4CF4968877,PMC,0,3,2023-09-09 11:16:14.857,973603867425133,6758864997514096,0,2023-09-11 16:46:18.883
01694-2,2023,"7,510","7,385",125,0,true,false,false,true,true,false,NULL,"2,000","2,000",false,NULL,NULL,A61DFF09-8197-ED11-8450-00237D21B888,PMC,0,O,2023-10-20 09:15:41.310,NULL,NULL,0,NULL
